,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
27,601658.SH,20200226,5.48,5.57,5.48,5.52,5.5,0.02,0.3636,724116.42,400447.837
28,601658.SH,20200225,5.48,5.5,5.46,5.5,5.5,0.0,0.0,817348.52,448032.114
29,601658.SH,20200224,5.5,5.52,5.49,5.5,5.52,-0.02,-0.3623,549826.52,302330.908
30,601658.SH,20200221,5.53,5.56,5.51,5.52,5.56,-0.04,-0.7194,676597.4,374241.562
31,601658.SH,20200220,5.5,5.58,5.48,5.56,5.5,0.06,1.0909,923256.44,510405.83
32,601658.SH,20200219,5.5,5.52,5.49,5.5,5.52,-0.02,-0.3623,384438.22,211473.228
33,601658.SH,20200218,5.54,5.54,5.49,5.52,5.56,-0.04,-0.7194,597866.03,329300.927
34,601658.SH,20200217,5.49,5.56,5.48,5.56,5.5,0.06,1.0909,721277.54,398249.47
35,601658.SH,20200214,5.48,5.5,5.47,5.5,5.5,0.0,0.0,324974.5,178394.552
36,601658.SH,20200213,5.5,5.51,5.46,5.5,5.5,0.0,0.0,476363.04,261156.71
37,601658.SH,20200212,5.49,5.5,5.46,5.5,5.51,-0.01,-0.1815,349541.4,191802.003
38,601658.SH,20200211,5.49,5.53,5.47,5.51,5.51,0.0,0.0,451187.58,248425.927
39,601658.SH,20200210,5.47,5.51,5.44,5.51,5.5,0.01,0.1818,862795.16,472076.521
40,601658.SH,20200207,5.5,5.5,5.45,5.5,5.52,-0.02,-0.3623,841064.42,460296.388
41,601658.SH,20200206,5.51,5.52,5.47,5.52,5.5,0.02,0.3636,758456.43,417002.587
42,601658.SH,20200205,5.51,5.54,5.46,5.5,5.54,-0.04,-0.722,855266.03,470326.376
43,601658.SH,20200204,5.42,5.55,5.42,5.54,5.5,0.04,0.7273,969110.67,531487.857
44,601658.SH,20200203,5.38,5.56,5.21,5.5,5.67,-0.17,-2.9982,1769614.51,953108.932
45,601658.SH,20200123,5.68,5.69,5.57,5.67,5.71,-0.04,-0.7005,648748.34,365265.665
46,601658.SH,20200122,5.65,5.73,5.6,5.71,5.66,0.05,0.8834,673945.0,382449.595
47,601658.SH,20200121,5.71,5.73,5.66,5.66,5.72,-0.06,-1.049,435683.45,247628.118
48,601658.SH,20200120,5.68,5.73,5.68,5.72,5.67,0.05,0.8818,515144.68,294220.504
49,601658.SH,20200117,5.66,5.71,5.66,5.67,5.64,0.03,0.5319,570035.97,323989.585
50,601658.SH,20200116,5.72,5.73,5.64,5.64,5.7,-0.06,-1.0526,819470.17,464438.544
51,601658.SH,20200115,5.75,5.76,5.7,5.7,5.76,-0.06,-1.0417,666909.64,382018.233
52,601658.SH,20200114,5.79,5.79,5.75,5.76,5.79,-0.03,-0.5181,1074266.82,619921.387
53,601658.SH,20200113,5.87,5.88,5.76,5.79,5.9,-0.11,-1.8644,1734636.56,1007044.51
54,601658.SH,20200110,5.85,5.92,5.82,5.9,5.87,0.03,0.5111,694748.44,407778.105
55,601658.SH,20200109,5.85,5.88,5.8,5.87,5.85,0.02,0.3419,616591.92,360115.912
56,601658.SH,20200108,5.88,5.89,5.81,5.85,5.92,-0.07,-1.1824,921083.45,539743.079
57,601658.SH,20200107,5.89,5.94,5.88,5.92,5.91,0.01,0.1692,534210.82,315750.308
58,601658.SH,20200106,5.94,5.97,5.87,5.91,5.98,-0.07,-1.1706,884076.94,523720.072
59,601658.SH,20200103,5.93,6.01,5.85,5.98,5.93,0.05,0.8432,1364281.36,808288.531
60,601658.SH,20200102,5.9,6.02,5.9,5.93,5.86,0.07,1.1945,1518237.98,905022.463
61,601658.SH,20191231,5.8,5.88,5.79,5.86,5.81,0.05,0.8606,1224430.8,715889.07
62,601658.SH,20191230,5.71,5.91,5.66,5.81,5.74,0.07,1.2195,1789527.54,1039987.974
63,601658.SH,20191227,5.68,5.76,5.67,5.74,5.69,0.05,0.8787,1309059.32,749825.057
64,601658.SH,20191226,5.68,5.69,5.63,5.69,5.69,0.0,0.0,1185756.93,670892.421
65,601658.SH,20191225,5.78,5.8,5.68,5.69,5.8,-0.11,-1.8966,1568358.2,898134.028
66,601658.SH,20191224,5.83,5.83,5.74,5.8,5.82,-0.02,-0.3436,1311897.34,758582.939
67,601658.SH,20191223,5.76,5.88,5.74,5.82,5.75,0.07,1.2174,1709986.38,994892.791
68,601658.SH,20191220,5.75,5.84,5.72,5.75,5.74,0.01,0.1742,1762430.52,1017976.197
69,601658.SH,20191219,5.73,5.83,5.7,5.74,5.72,0.02,0.3497,1410280.76,811746.305
70,601658.SH,20191218,5.78,5.84,5.71,5.72,5.85,-0.13,-2.2222,2200642.05,1268629.909
71,601658.SH,20191217,5.58,6.14,5.56,5.85,5.58,0.27,4.8387,4561198.5,2651899.251
72,601658.SH,20191216,5.59,5.59,5.56,5.58,5.59,-0.01,-0.1789,1438749.9,801426.854
73,601658.SH,20191213,5.61,5.61,5.58,5.59,5.6,-0.01,-0.1786,1570367.24,878386.009
74,601658.SH,20191212,5.6,5.61,5.56,5.6,5.63,-0.03,-0.5329,2247118.48,1255128.504
75,601658.SH,20191211,5.58,5.64,5.55,5.63,5.61,0.02,0.3565,4633862.64,2586905.784
76,601658.SH,20191210,5.6,5.65,5.53,5.61,5.5,0.11,2.0,16194729.12,9048900.573
